title,url,price,ram,storage,graphics,display_size,generation,processor,discount
    Acer Extensa 15 EX215-54-37AH Intel Core i3 1 ...,https://www.ryanscomputers.com/acer-extensa-15-ex215-54-37ah-intel-core-i3-1115g4-15.6-inch-fhd-display-charcoal-black-laptop,"Tk 45,200 ",RAM - 4GB,Storage - 1TB HDD,Graphics Memory - Shared,Display Size (Inch) - 15.6,Generation - 11th (Intel),Processor Type. - Core i3,not available
    Dell Vostro 14 3400 11th Gen Intel Core i3 11 ...,https://www.ryanscomputers.com/dell-vostro-14-3400-11th-gen-intel-core-i3-1115g4-4gb-ram-14-inch-hd-display-black-laptop,"Tk 45,900 ",RAM - 4GB,Storage - 1TB HDD,Graphics Memory - Shared,Display Size (Inch) - 14,Generation - 11th (Intel),Processor Type. - Core i3,not available
    HP 15s-fq3234TU Intel CDC N4500 15.6 Inch FHD ...,https://www.ryanscomputers.com/hp-15s-fq3234tu-intel-cdc-n4500-15.6-inch-fhd-display-silver-laptop,"Tk 46,200 ",RAM - 4GB,Storage - 256GB SSD,Graphics Memory - Shared,Display Size (Inch) - 15.6,Generation - Not Applicable,Processor Type. - Intel Celeron,not available
    Acer Extensa 15 EX215-54-34SE Intel Core i3 1 ...,https://www.ryanscomputers.com/acer-extensa-15-ex215-54-34se-intel-core-i3-1115g4-15.6-inch-fhd-charcoal-black-laptop,"Tk 46,200 ",RAM - 4GB,Storage - 1TB HDD,Graphics Memory - Shared,Display Size (Inch) - 15.6,Generation - 11th (Intel),Processor Type. - Core i3,not available
    Lenovo IdeaPad Slim 3i 15IIL Intel Core i3 10 ...,https://www.ryanscomputers.com/lenovo-ideapad-slim-3i-15iil-intel-core-i3-1005g1-4gb-ram-15.6-inch-fhd-display-platinum-grey-laptop,"Tk 47,500 ",RAM - 4GB,Storage - 256GB SSD,Graphics Memory - Shared,Display Size (Inch) - 15.6,Generation - 10th (Intel),Processor Type. - Core i3,not available
    HP 15s-eq1578AU AMD Athlon Silver 3050U 15.6 ...,https://www.ryanscomputers.com/hp-15s-eq1578au-amd-athlon-silver-3050u-15.6-inch-fhd-display-silver-laptop,"Tk 51,200 ",RAM - 8GB,Storage - 256GB SSD,Graphics Memory - Shared,Display Size (Inch) - 15.6,Generation - Not Applicable,Processor Type. - AMD Athlon,not available
    Lenovo IdeaPad 1 15ADA7 AMD Ryzen 3 3250U 15. ...,https://www.ryanscomputers.com/lenovo-ideapad-1-15ada7-amd-ryzen-3-3250u-15.6-inch-fhd-display-cloud-grey-laptop,"Tk 51,500 ",RAM - 8GB,Storage - 512GB SSD,Graphics Memory - Shared,Display Size (Inch) - 15.6,Generation - Not Applicable,Processor Type. - Ryzen 3,not available
    Dell Inspiron 15 3515 AMD Ryzen 3 3250U 15.6 ...,https://www.ryanscomputers.com/dell-inspiron-15-3515-amd-ryzen-3-3250u-15.6-inch-fhd-display-silver-laptop,"Tk 52,000 ",RAM - 8GB,Storage - 256GB SSD,Graphics Memory - Shared,Display Size (Inch) - 15.6,Generation - Not Applicable,Processor Type. - Ryzen 3,not available
    Dell Inspiron 15 3511 Intel Core i3 1115G4 25 ...,https://www.ryanscomputers.com/dell-inspiron-15-3511-intel-core-i3-1115g4-256gb-ssd-15.6-inch-fhd-display-carbon-black-laptop,"Tk 57,500 ",RAM - 8GB,Storage - 256GB SSD,Graphics Memory - Shared,Display Size (Inch) - 15.6,Generation - 11th (Intel),Processor Type. - Core i3,not available
    Huawei MateBook B3-520 Intel Core i3 1115G4 1 ...,https://www.ryanscomputers.com/huawei-matebook-b3-520-intel-core-i3-1115g4-15.6-inch-fhd-display-space-gray-laptop,"Tk 60,500 ",RAM - 8GB,Storage - 256GB SSD,Graphics Memory - Shared,Display Size (Inch) - 15.6,Generation - 11th (Intel),Processor Type. - Core i3,not available
